"property","value"
"http://www.w3.org/2000/01/rdf-schema#label","Adame Ba Konaré"
"http://www.w3.org/2000/01/rdf-schema#label","Adriano Sánchez Roa"
"http://www.w3.org/2000/01/rdf-schema#label","Adrián Ward"
"http://www.w3.org/2000/01/rdf-schema#label","Agustín Haya de la Torre de la Rosa"
"http://www.w3.org/2000/01/rdf-schema#label","Agustín Molina Martínez"
"http://www.w3.org/2000/01/rdf-schema#label","Ahmed Hilmi Pasha"
"http://www.w3.org/2000/01/rdf-schema#label","Aileen Baviera"
"http://www.w3.org/2000/01/rdf-schema#label","Aisha Musa el-Said"
"http://www.w3.org/2000/01/rdf-schema#label","Akua Asabea Ayisi"
"http://www.w3.org/2000/01/rdf-schema#label","Alain Vivien"
"http://www.w3.org/2000/01/rdf-schema#label","Alaiza Pashkevich"
"http://www.w3.org/2000/01/rdf-schema#label","Aptripel Tumimomor"
"http://www.w3.org/2000/01/rdf-schema#label","Arancha González Laya"
"http://www.w3.org/2000/01/rdf-schema#label","Archer Blood"
"http://www.w3.org/2000/01/rdf-schema#label","Ariela Luna"
"http://www.w3.org/2000/01/rdf-schema#label","Arnulfo Gasca Trujillo"
"http://www.w3.org/2000/01/rdf-schema#label","Arturo Zúñiga"
"http://www.w3.org/2000/01/rdf-schema#label","Ascensión Pastor Parres"
"http://www.w3.org/2000/01/rdf-schema#label","Ashok-Alexander Sridharan"
"http://www.w3.org/2000/01/rdf-schema#label","Aslan Bzhania"
"http://www.w3.org/2000/01/rdf-schema#comment","Adame Ba Konaré o Adame Konaré Ba (Segú, 1 de mayo de 1947) es una historiadora, escritora, militante del movimiento democrático maliense y activista por los derechos de las mujeres. En 1995 fundó el Museo de la Mujer Muso Kunda, uno de los pocos  que existen en África. En sus investigaciones reivindica el valor de la tradición oral para conocer e investigar sobre la historia de África que desde los años 60 del siglo XX se integran como fuente de información igualmente válidos que los documentos escritos, señala la historiadora. Fue primera dama de Malí entre 1992 y 2002."
"http://www.w3.org/2000/01/rdf-schema#comment","Adriano de Jesús Sánchez Roa (nacido el 24 de enero del año 1956) es un político, economista y escritor de la República Dominicana. Es Senador para la provincia de Elías Piña, elegido en 2006, y reelegido en 2010, con 60.05% de los votos.​​ Ha sido descrito cuando uno del más senadores más trabajadores.​​"
"http://www.w3.org/2000/01/rdf-schema#comment","Manuel Mariano Adrián Ward Chocano fue un hacendado, periodista y político peruano. Fue senador por Tacna durante 23 años entre 1886 y 1912. Nació en Arequipa en 1834. Sus padres fueron Juan Lucas Ward y María Josefa Joaquina Chocano Vilchez. Se casó en 1854 en Arequipa con María Julia Rosa Johnson Ureta con quien tuvo cinco hijos. En 1871 estableció la Hacienda Ward en el Valle de Cinto en el departamento de Tacna (actual provincia de Jorge Basadre. Ward trajo como mayordomo al chinchano José Lévano Trillo y se dedicó a la producción de vino para exportarlo a Europa. Luego de la guerra con Chile se generó un ambiente hostil de parte de los chilenos que ocuparon la zona por lo que Ward tuvo que abandonar la hacienda y mudarse a Tacna vendiendola eventualmente a Lévano​."
"http://www.w3.org/2000/01/rdf-schema#comment","Agustín Haya de la Torre de la Rosa (Lima, Perú, 3 de diciembre de 1948) es un sociólogo peruano."
