"property","value"
"http://www.w3.org/2000/01/rdf-schema#label","OpenLink Software Inc."
"http://www.w3.org/2000/01/rdf-schema#label","OpenLink ProductPortfolio"
"http://www.w3.org/2000/01/rdf-schema#label","🚀"
"http://www.w3.org/2000/01/rdf-schema#label","🍞"
"http://www.w3.org/2000/01/rdf-schema#label","🍓"
"http://www.w3.org/2000/01/rdf-schema#label","𐤏"
"http://www.w3.org/2000/01/rdf-schema#label","𐤁"
"http://www.w3.org/2000/01/rdf-schema#label","𐤀"
"http://www.w3.org/2000/01/rdf-schema#label","𐌰"
"http://www.w3.org/2000/01/rdf-schema#label","𐌁"
"http://www.w3.org/2000/01/rdf-schema#label","봄밤"
"http://www.w3.org/2000/01/rdf-schema#label","Ᵹ"
"http://www.w3.org/2000/01/rdf-schema#label","Ꙙ"
"http://www.w3.org/2000/01/rdf-schema#label","Ꙁ"
"http://www.w3.org/2000/01/rdf-schema#label","黒ムル"
"http://www.w3.org/2000/01/rdf-schema#label","马"
"http://www.w3.org/2000/01/rdf-schema#label","这1⃣️
asentamientos"
"http://www.w3.org/2000/01/rdf-schema#label","秦九韶"
"http://www.w3.org/2000/01/rdf-schema#label","梁容銀"
"http://www.w3.org/2000/01/rdf-schema#label","札幌市"
"http://www.w3.org/2000/01/rdf-schema#label","新宿区"
"http://www.w3.org/2000/01/rdf-schema#label","文心雕龙"
"http://www.w3.org/2000/01/rdf-schema#label","文"
"http://www.w3.org/2000/01/rdf-schema#label","孫大文"
"http://www.w3.org/2000/01/rdf-schema#label","卧虎藏龙"
"http://www.w3.org/2000/01/rdf-schema#label","半濁点"
"http://www.w3.org/2000/01/rdf-schema#label","倭"
"http://www.w3.org/2000/01/rdf-schema#label","丶"
"http://www.w3.org/2000/01/rdf-schema#label","一"
"http://www.w3.org/2000/01/rdf-schema#label","ヨ"
"http://www.w3.org/2000/01/rdf-schema#label","ホントのじぶん"
"http://www.w3.org/2000/01/rdf-schema#label","ヘ"
