PK,NOMBRE,HORARIO,NUMERO-PLAZAS,ACCESIBILIDAD,CLASE-VIAL,CALLE_ID,CODIGO-POSTAL,BARRIO,same_as_wikidata_BARRIO,BARRIO_ID,DISTRITO,same_as_wikidata_DISTRITO
11483771,Aparcamiento disuasorio Aviación Española,24 h,344,Accesible,Calle Fuente De Lima,CalleFuenteDeLima,28024,Las Águilas,https://wikidata.org/entity/Q5971372,LasÁguilas,Latina,https://wikidata.org/entity/Q794954
10489514,Aparcamiento disuasorio Estadio Metropolitano Sur ES-02b,de 6:00 h a 22:00 h,3011,No accesible,Avenida Arcentales,AvenidaArcentales,28022,Rosas,https://wikidata.org/entity/Q18880469,Rosas,San Blas-Canillejas,https://wikidata.org/entity/Q2001937
11413444,Aparcamiento disuasorio Fuente de la Mora,24 h,368,Accesible,Avenida Manoteras,AvenidaManoteras,28050,Valdefuentes,https://wikidata.org/entity/Q10388714,Valdefuentes,Hortaleza,https://wikidata.org/entity/Q1928529
11544464,Aparcamiento disuasorio Islazul,,224,Accesible,Calle Calderilla,CalleCalderilla,28054,Buenavista,https://wikidata.org/entity/Q953929,Buenavista,Carabanchel,https://wikidata.org/entity/Q1001991
11413620,Aparcamiento disuasorio Pitis,24 h,402,Accesible,Calle Gloria Fuertes,CalleGloriaFuertes,28049,Fuentelarreina,https://wikidata.org/entity/Q10286156,Fuentelarreina,Fuencarral-El Pardo,https://wikidata.org/entity/Q656196
11544480,Aparcamiento mixto. Alcántara,,121,No accesible,Calle Alcantara,CalleAlcantara,28006,Goya,https://wikidata.org/entity/Q3814578,Goya,Salamanca,https://wikidata.org/entity/Q1773521
13470,Aparcamiento mixto. Arquitecto Ribera,,318,No accesible,Calle Barceló,CalleBarceló,28004,Justicia,https://wikidata.org/entity/Q1992319,Justicia,Centro,https://wikidata.org/entity/Q1763376
59060,Aparcamiento mixto. Avenida de América (intercambiador),,261,No accesible,Avenida de América,AvenidaAmérica,28002,Prosperidad,https://wikidata.org/entity/Q4776,Prosperidad,Chamartín,https://wikidata.org/entity/Q1766348
5898885,Aparcamiento mixto. Avenida de Portugal,de 6:00 h a 22:00 h,428,No accesible,Avenida Portugal,AvenidaPortugal,28011,Barrio de Puerta del Ángel,https://wikidata.org/entity/Q31142,PuertaDelAngel,Latina,https://wikidata.org/entity/Q794954
13475,Aparcamiento mixto. Brasil,,226,No accesible,Calle San Germán,CalleSanGermán,28020,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CuatroCaminos,Tetuán,https://wikidata.org/entity/Q1773540
183747,Aparcamiento mixto. Casino de la Reina,,135,No accesible,Calle Casino,CalleCasino,28005,Embajadores,https://wikidata.org/entity/Q2449844,Embajadores,Centro,https://wikidata.org/entity/Q1763376
13477,Aparcamiento mixto. Condesa de Gavia,,146,No accesible,Plaza Condesa De Gavia,PlazaCondesaDeGavia,28020,Cuatro Caminos,https://wikidata.org/entity/Q5824684,CuatroCaminos,Tetuán,https://wikidata.org/entity/Q1773540
81736,Aparcamiento mixto. Corona Boreal,,125,Accesible,Calle Pérez De Victoria,CallePérezDeVictoria,28023,Aravaca,https://wikidata.org/entity/Q3314682,Aravaca,Moncloa-Aravaca,https://wikidata.org/entity/Q2017682
183748,Aparcamiento mixto. Daoíz y Velarde,,235,No accesible,Avenida Ciudad De Barcelona,AvenidaCiudadDeBarcelona,28007,Pacífico,https://wikidata.org/entity/Q3773753,Pacifico,Retiro,https://wikidata.org/entity/Q2002296
44724,Aparcamiento mixto. Díaz Porlier,,203,No accesible,Calle Diego De León,CalleDiegoDeLeón,28006,Lista,https://wikidata.org/entity/Q4779,Lista,Salamanca,https://wikidata.org/entity/Q1773521
