ESTACION,ID_Punto,DISTRITO,BARRIO,ID_BARRIO,UBICACIÓN,CALLE,CALLE_ID,Nº_EQUIPOS,Mennekes_KW,CHAdeMO_KW,CCS_KW,Mennekes_Conectores,CHAdeMO_Conectores,CCS_Conectores,OPERADOR,FECHA_ALTA,HORARIO
Punto de carga 04_VP,04_VP,Arganzuela,Palos de Moguer,PalosdeMoguer,Ronda de Valencia 1,Ronda de Valencia,RondadeValencia,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 06_VP,06_VP,Retiro,Adelfas,Adelfas,Calle Cerro de la Plata 4,Calle Cerro de la Plata,CalleCerrodelaPlata,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 08_VP,08_VP,Retiro,Jerónimos,Jerónimos,"Calle Alfonso XII, 2",Calle Alfonso XII,CalleAlfonsoXII,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 10_VP,10_VP,Salamanca,Recoletos,Recoletos,Calle de Goya 36,Calle de Goya,CalledeGoya,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 11_VP,11_VP,Salamanca,Goya,Goya,Calle de Goya 123,Calle de Goya,CalledeGoya,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 12_VP,12_VP,Salamanca,Castellana,Castellana,Calle Castelló 105,Calle Castelló,CalleCastelló,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 01_CoCe20,01_CoCe20,Salamanca,Guindalera,Guindalera,Plaza de San Cayetano,Plaza de San Cayetano,PlazadeSanCayetano,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 09_CoCe20,09_CoCe20,Latina,Cuatro Vientos,CuatroVientos,"Calle de la Sinfonia, 9",Calle de la Sinfonia,CalledelaSinfonia,1,50,50,50,1,2,2,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 32_PropDG,32_PropDG,Vicálvaro,Valdebernardo,Valdebernardo,"Bulevar José Prat, 27",Bulevar José Prat,BulevarJoséPrat,3,22,50,"100, 50",1,1,3,IBERDROLA,2022-02-03T15:21:24Z,24
Punto de carga 02_CoCe20,02_CoCe20,Chamartín,Hispanoamérica,Hispanoamérica,Avenida Alfonso XIII,Avenida Alfonso XIII,AvenidaAlfonsoXIII,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 13_VP,13_VP,Salamanca,Castellana,Castellana,Calle Velázquez 74,Calle Velázquez,CalleVelázquez,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 14_VP,14_VP,Salamanca,Castellana,Castellana,Paseo Castellana 52,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 15_VP,15_VP,Chamartín,El Viso,ElViso,Paseo Castellana 106,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 16_VP,16_VP,Chamartín,Hispanoamérica,Hispanoamérica,Paseo Castellana 160,Paseo Castellana,PaseoCastellana,2,50,"150, 50","150, 50",1,3,3,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 17_VP,17_VP,Chamartín,Castilla,Castilla,Calle Cardenal Marcelo Spínola 6,Calle Cardenal Marcelo Spínola,CalleCardenalMarceloSpínola,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 18_VP,18_VP,Chamberí,Arapiles,Arapiles,Calle Fernández de los Ríos 42,Calle Fernández de los Ríos,CalleFernándezdelosRíos,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 19_VP,19_VP,Chamberí,Arapiles,Arapiles,Plaza del Conde de Valle de Suchil,Plaza del Conde de Valle de Suchil,PlazadelCondedeValledeSuchil,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 20_VP,20_VP,Chamberí,Trafalgar,Trafalgar,Calle Fuencarral 114,Calle Fuencarral,CalleFuencarral,1,50,50,50,1,2,2,REPSOL,2022-02-03T15:21:24Z,24
Punto de carga 21_VP,21_VP,Chamberí,Trafalgar,Trafalgar,Calle Manuel Silvela 16,Calle Manuel Silvela,CalleManuelSilvela,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 03_CoCe20,03_CoCe20,Chamartín,Nueva España,NuevaEspaña,"Avenida Alberto Alcocer, 11",Avenida Alberto Alcocer,AvenidaAlbertoAlcocer,1,50,50,50,1,2,2,ENDESA X SERVICIOS S.L.,2022-02-03T15:21:24Z,24
Punto de carga 22_VP,22_VP,Chamberí,Trafalgar,Trafalgar,Calle Santa Engracia 115,Calle Santa Engracia,CalleSantaEngracia,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 23_VP,23_VP,Chamberí,Almagro,Almagro,Paseo Castellana 33,Paseo Castellana,PaseoCastellana,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
Punto de carga 24_VP,24_VP,Fuencarral - El Pardo,La Paz,LaPaz,Calle de Sinesio Delgado 2,Calle de Sinesio Delgado,CalledeSinesioDelgado,1,50,50,50,1,2,2,GIC,2022-02-03T15:21:24Z,24
