datetime_america_los_angeles,temperature_celsius,pressure_mbar,humidity_pct,wind_speed_mph,wind_direction_degrees,far_bound_local_roadway_vehicles_per_mile,far_bound_highway_vehicles_per_mile,near_bound_local_roadway_vehicles_per_mile,near_bound_highway_vehicles_per_mile,background_observed,background_element_measured,background_units,observed,street,element_measured,units,latitude,longitude
2021-05-21 12:30:00-07:00,19.91,1015,30,2.68,260,32.16885823,89.94044967,50.99567407,89.2582898,3.6,NO2,ppb,18.04325196,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 12:45:00-07:00,19.91,1015,30,2.68,260,32.40714607,81.60327315,41.19001237,96.4228348,3.6,NO2,ppb,18.02267703,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 13:00:00-07:00,21.14,1014,26,3.13,306,31.5481084,88.57159682,52.08843852,93.25576641,3.6,NO2,ppb,18.00206366,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 13:15:00-07:00,21.14,1014,26,3.13,306,37.98988972,78.98264902,49.95355468,97.72489259,3.6,NO2,ppb,17.98141181,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 13:30:00-07:00,21.14,1014,26,3.13,306,37.5934108,89.58095975,42.85350763,95.34135863,3.6,NO2,ppb,17.96072148,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 13:45:00-07:00,21.14,1014,26,3.13,306,29.28737756,86.0481895,54.38694484,101.0022518,3.6,NO2,ppb,17.93999264,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 14:00:00-07:00,21.65,1014,27,3.58,179,33.26818616,76.19001793,50.85542623,93.95175105,3.6,NO2,ppb,17.91922528,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 14:15:00-07:00,21.65,1014,27,3.58,179,30.99944564,82.39441679,45.58054902,97.49710015,3.6,NO2,ppb,17.89841938,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 14:30:00-07:00,21.65,1014,27,3.58,179,25.69303579,80.90536106,50.89827974,99.2697747,3.6,NO2,ppb,17.87757492,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 14:45:00-07:00,21.65,1014,27,3.58,179,36.52411915,79.41630534,55.10571503,109.3149305,3.6,NO2,ppb,17.85669188,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 15:00:00-07:00,22.5,1014,28,3.13,169,34.92618894,102.0374856,47.98229333,112.1430807,2.5,NO2,ppb,17.83577024,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 15:15:00-07:00,22.5,1014,28,3.13,169,28.79878737,80.40859213,51.065798,113.0331052,2.5,NO2,ppb,17.81480999,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 15:30:00-07:00,22.5,1014,28,3.13,169,32.77158629,83.71654054,59.6540305,109.1763326,2.5,NO2,ppb,17.7938111,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 15:45:00-07:00,22.5,1014,28,3.13,169,29.15521792,85.24328597,66.5729241,123.4167238,2.5,NO2,ppb,17.77277357,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 16:00:00-07:00,21.84,1013,29,3.58,190,31.95860426,89.17580504,61.00781176,126.6107953,2.1,NO2,ppb,17.75169736,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 16:15:00-07:00,21.84,1013,29,3.58,190,28.25613187,88.57122331,65.25420479,123.2868842,2.1,NO2,ppb,17.73058247,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 16:30:00-07:00,21.84,1013,29,3.58,190,27.23289586,85.85060553,62.97907312,126.6107953,2.1,NO2,ppb,17.70942887,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 16:45:00-07:00,21.84,1013,29,3.58,190,30.98943355,81.31624256,73.92230065,129.6325327,2.1,NO2,ppb,17.68823655,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 17:00:00-07:00,20.43,1013,32,2.68,241,31.49804793,89.03112843,73.91061333,119.7006405,2.0,NO2,ppb,17.66700549,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 17:15:00-07:00,20.43,1013,32,2.68,241,25.05626661,89.03112843,56.28613438,140.8784462,2.0,NO2,ppb,17.64573566,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 17:30:00-07:00,20.43,1013,32,2.68,241,33.71272314,83.79400323,62.45898736,122.1560383,2.0,NO2,ppb,17.62442706,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 17:45:00-07:00,20.43,1013,32,2.68,241,29.8560645,82.48472193,57.03801865,127.6806832,2.0,NO2,ppb,17.60307966,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 18:00:00-07:00,18.95,1014,37,2.68,254,25.41069474,80.28804023,53.94477455,125.0019066,2.2,NO2,ppb,17.58169345,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 18:15:00-07:00,18.95,1014,37,2.68,254,31.57413984,83.52546121,45.92142919,112.7221223,2.2,NO2,ppb,17.5602684,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 18:30:00-07:00,18.95,1014,37,2.68,254,28.80479462,81.58300862,53.09549595,110.8329248,2.2,NO2,ppb,17.5388045,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 18:45:00-07:00,18.95,1014,37,2.68,254,26.44194043,80.61178233,48.16149891,103.905867,2.2,NO2,ppb,17.51730173,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 19:00:00-07:00,17.43,1014,45,3.13,284,36.75239489,74.75313253,42.85350763,96.2818881,3.2,NO2,ppb,17.49576008,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 19:15:00-07:00,17.43,1014,45,3.13,284,35.07036309,75.66847701,34.50876096,100.3992057,3.2,NO2,ppb,17.47417951,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 19:30:00-07:00,17.43,1014,45,3.13,284,29.72991212,73.53267322,38.97526519,93.43143746,3.2,NO2,ppb,17.45256003,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 19:45:00-07:00,17.43,1014,45,3.13,284,27.07270235,72.31221392,36.89102641,94.69830441,3.2,NO2,ppb,17.4309016,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 20:00:00-07:00,15.76,1016,54,1.79,261,30.16643942,67.70002654,45.43250963,84.45354364,4.2,NO2,ppb,17.40920421,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 20:15:00-07:00,15.76,1016,54,1.79,261,16.48675396,67.93635449,36.08496769,82.60696413,4.2,NO2,ppb,17.38746784,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 20:30:00-07:00,15.76,1016,54,1.79,261,14.80187987,67.13585965,28.28331503,84.15406299,4.2,NO2,ppb,17.36569248,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 20:45:00-07:00,15.76,1016,54,1.79,261,21.59570875,65.84670268,24.87090534,85.93787996,4.2,NO2,ppb,17.3438781,Iowa,NO2,ppb,33.975674,-117.339872
2021-05-21 21:00:00-07:00,14.53,1017,63,1.34,173,20.12430907,58.16149847,27.05225063,84.3099116,3.4,NO2,ppb,17.32202468,Iowa,NO2,ppb,33.975674,-117.339872
