PROVINCE,MUNICIPALITY,STATION_CODE,MAGNITUDE_CODE,TECHNIQUE,YEAR,MONTH,DAY,VALUE,VALID
28,79,4,1,38,2023,1,D01,1,true
28,79,4,1,38,2023,2,D01,3,true
28,79,4,1,38,2023,3,D01,3,true
28,79,4,1,38,2023,4,D01,1,true
28,79,4,1,38,2023,5,D01,1,true
28,79,4,1,38,2023,6,D01,1,true
28,79,4,1,38,2023,7,D01,1,true
28,79,4,1,38,2023,8,D01,1,true
28,79,4,1,38,2023,9,D01,1,true
28,79,4,1,38,2023,10,D01,1,true
28,79,4,1,38,2023,11,D01,2,true
28,79,4,1,38,2023,12,D01,2,true
28,79,4,6,48,2023,1,D01,0.4,true
28,79,4,6,48,2023,2,D01,0.5,true
28,79,4,6,48,2023,3,D01,0.4,true
28,79,4,6,48,2023,4,D01,0.3,true
28,79,4,6,48,2023,5,D01,0.1,true
28,79,4,6,48,2023,6,D01,0.3,true
28,79,4,6,48,2023,7,D01,0.3,true
28,79,4,6,48,2023,8,D01,0.3,true
28,79,4,6,48,2023,9,D01,0.4,true
28,79,4,6,48,2023,10,D01,0.4,true
28,79,4,6,48,2023,11,D01,0.4,true
28,79,4,6,48,2023,12,D01,0.3,true
28,79,4,7,8,2023,1,D01,28,true
28,79,4,7,8,2023,2,D01,36,true
28,79,4,7,8,2023,3,D01,28,true
28,79,4,7,8,2023,4,D01,3,true
28,79,4,7,8,2023,5,D01,4,true
28,79,4,7,8,2023,6,D01,2,true
28,79,4,7,8,2023,7,D01,3,true
28,79,4,7,8,2023,8,D01,3,true
28,79,4,7,8,2023,9,D01,9,true
28,79,4,7,8,2023,10,D01,20,true
28,79,4,7,8,2023,11,D01,19,true
28,79,4,7,8,2023,12,D01,7,true
28,79,4,8,8,2023,1,D01,35,true
28,79,4,8,8,2023,2,D01,53,true
28,79,4,8,8,2023,3,D01,42,true
28,79,4,8,8,2023,4,D01,8,true
28,79,4,8,8,2023,5,D01,10,true
28,79,4,8,8,2023,6,D01,23,true
28,79,4,8,8,2023,7,D01,13,true
28,79,4,8,8,2023,8,D01,21,true
28,79,4,8,8,2023,9,D01,37,true
28,79,4,8,8,2023,10,D01,46,true
28,79,4,8,8,2023,11,D01,22,true
28,79,4,8,8,2023,12,D01,25,true
28,79,4,12,8,2023,1,D01,79,true
28,79,4,12,8,2023,2,D01,107,true
28,79,4,12,8,2023,3,D01,84,true
28,79,4,12,8,2023,4,D01,13,true
28,79,4,12,8,2023,5,D01,16,true
28,79,4,12,8,2023,6,D01,27,true
28,79,4,12,8,2023,7,D01,18,true
28,79,4,12,8,2023,8,D01,25,true
28,79,4,12,8,2023,9,D01,51,true
28,79,4,12,8,2023,10,D01,76,true
28,79,4,12,8,2023,11,D01,51,true
28,79,4,12,8,2023,12,D01,35,true
28,79,8,1,38,2023,1,D01,3,true
28,79,8,1,38,2023,2,D01,3,true
28,79,8,1,38,2023,3,D01,3,true
28,79,8,1,38,2023,4,D01,1,true
28,79,8,1,38,2023,5,D01,1,true
28,79,8,1,38,2023,6,D01,2,true
28,79,8,1,38,2023,7,D01,4,true
28,79,8,1,38,2023,8,D01,5,true
28,79,8,1,38,2023,9,D01,3,true
28,79,8,1,38,2023,10,D01,1,true
28,79,8,1,38,2023,11,D01,4,true
28,79,8,1,38,2023,12,D01,6,true
28,79,8,6,48,2023,1,D01,0.4,true
28,79,8,6,48,2023,2,D01,0.5,true
28,79,8,6,48,2023,3,D01,0.4,true
28,79,8,6,48,2023,4,D01,0.3,true
28,79,8,6,48,2023,5,D01,0.2,true
28,79,8,6,48,2023,6,D01,0.3,true
28,79,8,6,48,2023,7,D01,0.2,true
28,79,8,6,48,2023,8,D01,0.2,true
28,79,8,6,48,2023,9,D01,0.4,true
28,79,8,6,48,2023,10,D01,0.3,true
28,79,8,6,48,2023,11,D01,0.3,true
28,79,8,6,48,2023,12,D01,0.2,true
28,79,8,7,8,2023,1,D01,9,true
28,79,8,7,8,2023,2,D01,19,true
28,79,8,7,8,2023,3,D01,10,true
28,79,8,7,8,2023,4,D01,2,true
28,79,8,7,8,2023,5,D01,1,true
28,79,8,7,8,2023,6,D01,2,true
28,79,8,7,8,2023,7,D01,2,true
28,79,8,7,8,2023,8,D01,2,true
28,79,8,7,8,2023,9,D01,7,true
28,79,8,7,8,2023,10,D01,20,true
28,79,8,7,8,2023,11,D01,23,true
28,79,8,7,8,2023,12,D01,8,true
28,79,8,8,8,2023,1,D01,38,true
28,79,8,8,8,2023,2,D01,50,true
28,79,8,8,8,2023,3,D01,35,true
28,79,8,8,8,2023,4,D01,14,true
28,79,8,8,8,2023,5,D01,11,true
28,79,8,8,8,2023,6,D01,28,true
28,79,8,8,8,2023,7,D01,12,true
28,79,8,8,8,2023,8,D01,21,true
28,79,8,8,8,2023,9,D01,44,true
28,79,8,8,8,2023,10,D01,48,true
28,79,8,8,8,2023,11,D01,30,true
28,79,8,8,8,2023,12,D01,35,true
28,79,8,9,47,2023,1,D01,14,true
28,79,8,9,47,2023,2,D01,12,true
28,79,8,9,47,2023,3,D01,10,true
28,79,8,9,47,2023,4,D01,6,true
28,79,8,9,47,2023,5,D01,4,true
28,79,8,9,47,2023,6,D01,11,true
28,79,8,9,47,2023,7,D01,8,true
28,79,8,9,47,2023,8,D01,9,true
28,79,8,9,47,2023,9,D01,11,true
28,79,8,9,47,2023,10,D01,12,true
28,79,8,9,47,2023,11,D01,3,true
28,79,8,9,47,2023,12,D01,5,true
28,79,8,10,47,2023,1,D01,22,true
28,79,8,10,47,2023,2,D01,23,true
28,79,8,10,47,2023,3,D01,18,true
28,79,8,10,47,2023,4,D01,16,true
28,79,8,10,47,2023,5,D01,9,true
28,79,8,10,47,2023,6,D01,19,true
28,79,8,10,47,2023,7,D01,13,true
28,79,8,10,47,2023,8,D01,23,true
28,79,8,10,47,2023,9,D01,31,true
28,79,8,10,47,2023,10,D01,28,true
28,79,8,10,47,2023,11,D01,9,true
28,79,8,10,47,2023,12,D01,10,true
28,79,8,12,8,2023,1,D01,52,true
28,79,8,12,8,2023,2,D01,79,true
28,79,8,12,8,2023,3,D01,50,true
28,79,8,12,8,2023,4,D01,16,true
28,79,8,12,8,2023,5,D01,12,true
28,79,8,12,8,2023,6,D01,30,true
28,79,8,12,8,2023,7,D01,15,true
28,79,8,12,8,2023,8,D01,23,true
28,79,8,12,8,2023,9,D01,54,true
28,79,8,12,8,2023,10,D01,80,true
28,79,8,12,8,2023,11,D01,65,true
28,79,8,12,8,2023,12,D01,48,true
28,79,8,14,6,2023,1,D01,23,true
28,79,8,14,6,2023,2,D01,30,true
28,79,8,14,6,2023,3,D01,51,true
28,79,8,14,6,2023,4,D01,80,true
28,79,8,14,6,2023,5,D01,84,true
28,79,8,14,6,2023,6,D01,81,true
28,79,8,14,6,2023,7,D01,63,true
28,79,8,14,6,2023,8,D01,85,true
28,79,8,14,6,2023,9,D01,59,true
28,79,8,14,6,2023,10,D01,56,true
28,79,8,14,6,2023,11,D01,34,true
28,79,8,14,6,2023,12,D01,48,true
28,79,8,20,59,2023,1,D01,0.7,true
28,79,8,20,59,2023,2,D01,4.8,true
28,79,8,20,59,2023,3,D01,1.2,true
28,79,8,20,59,2023,4,D01,0.9,true
28,79,8,20,59,2023,5,D01,0.4,true
28,79,8,20,59,2023,6,D01,1,true
28,79,8,20,59,2023,7,D01,0.4,true
28,79,8,20,59,2023,8,D01,1.5,true
28,79,8,20,59,2023,9,D01,4.2,true
28,79,8,20,59,2023,10,D01,2.2,true
28,79,8,20,59,2023,11,D01,2.4,true
28,79,8,20,59,2023,12,D01,1.7,true
28,79,8,30,59,2023,1,D01,0.1,true
28,79,8,30,59,2023,2,D01,0.9,true
28,79,8,30,59,2023,3,D01,0.5,true
28,79,8,30,59,2023,4,D01,0.4,true
28,79,8,30,59,2023,5,D01,0.1,true
28,79,8,30,59,2023,6,D01,0.2,true
28,79,8,30,59,2023,7,D01,0.3,true
28,79,8,30,59,2023,8,D01,0.3,true
28,79,8,30,59,2023,9,D01,0.4,true
28,79,8,30,59,2023,10,D01,0.7,true
28,79,8,30,59,2023,11,D01,0.4,true
28,79,8,30,59,2023,12,D01,0.3,true
28,79,8,35,59,2023,1,D01,0.1,true
28,79,8,35,59,2023,2,D01,0.5,true
28,79,8,35,59,2023,3,D01,0.2,true
28,79,8,35,59,2023,4,D01,0.1,true
28,79,8,35,59,2023,5,D01,0.1,true
28,79,8,35,59,2023,6,D01,0.2,true
28,79,8,35,59,2023,7,D01,0.1,true
28,79,8,35,59,2023,8,D01,0.2,true
28,79,8,35,59,2023,9,D01,0.6,true
28,79,8,35,59,2023,10,D01,0.3,true
28,79,8,35,59,2023,11,D01,0.5,true
28,79,8,35,59,2023,12,D01,0.2,true
28,79,11,7,8,2023,1,D01,5,true
28,79,11,7,8,2023,3,D01,0,false
