COD_DIS,Shape_Leng,Shape_Area,NOMBRE
1,10304.07973,5228246.741,Centro
2,12806.76426,6462175.63,Arganzuela
3,9523.885329,5466211.164,Retiro
4,10866.33577,5392403.428,Salamanca
5,13396.81708,9175481.878,Chamartín
6,9919.059595,5374724.446,Tetuán
7,9019.542776,4679185.047,Chamberí
8,94482.14556,2.378383704E8,Fuencarral-El Pardo
9,41034.34336,4.65311362E7,Moncloa-Aravaca
10,28181.05527,2.54272026E7,Latina
11,18083.30558,1.404831611E7,Carabanchel
12,11878.91045,7777717.293,Usera
13,17263.77382,1.496860615E7,Puente de Vallecas
14,10814.07229,6103167.529,Moratalaz
15,21524.70026,1.142567782E7,Ciudad Lineal
16,26988.38785,2.741976167E7,Hortaleza
17,18342.36139,2.018758634E7,Villaverde
18,33480.66228,5.146723851E7,Villa de Vallecas
19,34265.39005,3.526671327E7,Vicálvaro
20,26780.32886,2.229239233E7,San Blas-Canillejas
21,28730.35067,4.192281147E7,Barajas
