MAGNITUD,UNIDAD,PUNTO_MUESTREO,ANO,MES,DIA,MEDIDA
SO2,μg/m3,28079004,23,1,1,1
SO2,μg/m3,28079004,23,1,2,1
SO2,μg/m3,28079004,23,1,3,1
SO2,μg/m3,28079004,23,1,4,2
SO2,μg/m3,28079004,23,1,5,3
SO2,μg/m3,28079004,23,1,6,2
SO2,μg/m3,28079004,23,1,7,2
SO2,μg/m3,28079004,23,1,8,1
SO2,μg/m3,28079004,23,1,9,1
SO2,μg/m3,28079004,23,1,10,2
SO2,μg/m3,28079004,23,1,11,1
SO2,μg/m3,28079004,23,1,12,2
SO2,μg/m3,28079004,23,1,13,2
SO2,μg/m3,28079004,23,1,14,2
SO2,μg/m3,28079004,23,1,15,1
SO2,μg/m3,28079004,23,1,16,1
SO2,μg/m3,28079004,23,1,17,1
SO2,μg/m3,28079004,23,1,18,1
SO2,μg/m3,28079004,23,1,19,1
SO2,μg/m3,28079004,23,1,20,1
SO2,μg/m3,28079004,23,1,21,1
SO2,μg/m3,28079004,23,1,22,1
SO2,μg/m3,28079004,23,1,23,3
SO2,μg/m3,28079004,23,1,24,1
SO2,μg/m3,28079004,23,1,25,1
SO2,μg/m3,28079004,23,1,26,2
SO2,μg/m3,28079004,23,1,27,2
SO2,μg/m3,28079004,23,1,28,2
SO2,μg/m3,28079004,23,1,29,1
SO2,μg/m3,28079004,23,1,30,2
SO2,μg/m3,28079004,23,1,31,4
SO2,μg/m3,28079004,23,2,1,3
SO2,μg/m3,28079004,23,2,2,4
SO2,μg/m3,28079004,23,2,3,5
SO2,μg/m3,28079004,23,2,4,3
SO2,μg/m3,28079004,23,2,5,2
SO2,μg/m3,28079004,23,2,6,2
SO2,μg/m3,28079004,23,2,7,2
SO2,μg/m3,28079004,23,2,8,1
SO2,μg/m3,28079004,23,2,9,2
SO2,μg/m3,28079004,23,2,10,2
SO2,μg/m3,28079004,23,2,11,1
SO2,μg/m3,28079004,23,2,12,1
SO2,μg/m3,28079004,23,2,13,2
SO2,μg/m3,28079004,23,2,14,1
SO2,μg/m3,28079004,23,2,15,1
SO2,μg/m3,28079004,23,2,16,2
SO2,μg/m3,28079004,23,2,17,2
SO2,μg/m3,28079004,23,2,18,2
SO2,μg/m3,28079004,23,2,19,1
SO2,μg/m3,28079004,23,2,20,1
SO2,μg/m3,28079004,23,2,21,1
SO2,μg/m3,28079004,23,2,24,2
SO2,μg/m3,28079004,23,2,25,2
SO2,μg/m3,28079004,23,2,26,2
SO2,μg/m3,28079004,23,2,27,2
SO2,μg/m3,28079004,23,2,28,2
SO2,μg/m3,28079004,23,3,1,3
SO2,μg/m3,28079004,23,3,2,2
SO2,μg/m3,28079004,23,3,3,2
SO2,μg/m3,28079004,23,3,4,2
SO2,μg/m3,28079004,23,3,5,2
SO2,μg/m3,28079004,23,3,6,1
SO2,μg/m3,28079004,23,3,7,1
SO2,μg/m3,28079004,23,3,8,1
SO2,μg/m3,28079004,23,3,9,1
SO2,μg/m3,28079004,23,3,10,1
SO2,μg/m3,28079004,23,3,11,1
SO2,μg/m3,28079004,23,3,12,1
SO2,μg/m3,28079004,23,3,13,2
SO2,μg/m3,28079004,23,3,14,1
SO2,μg/m3,28079004,23,3,15,2
SO2,μg/m3,28079004,23,3,16,2
SO2,μg/m3,28079004,23,3,17,1
SO2,μg/m3,28079004,23,3,18,1
SO2,μg/m3,28079004,23,3,19,1
SO2,μg/m3,28079004,23,3,20,1
SO2,μg/m3,28079004,23,3,21,2
SO2,μg/m3,28079004,23,3,22,1
SO2,μg/m3,28079004,23,3,23,1
SO2,μg/m3,28079004,23,3,24,1
SO2,μg/m3,28079004,23,3,25,1
SO2,μg/m3,28079004,23,3,26,1
SO2,μg/m3,28079004,23,3,27,1
SO2,μg/m3,28079004,23,3,28,1
SO2,μg/m3,28079004,23,3,29,1
SO2,μg/m3,28079004,23,3,30,1
SO2,μg/m3,28079004,23,3,31,1
SO2,μg/m3,28079004,23,4,1,1
SO2,μg/m3,28079004,23,4,2,1
SO2,μg/m3,28079004,23,4,3,1
SO2,μg/m3,28079004,23,4,4,1
SO2,μg/m3,28079004,23,4,5,1
SO2,μg/m3,28079004,23,4,6,1
SO2,μg/m3,28079004,23,4,7,1
SO2,μg/m3,28079004,23,4,8,1
SO2,μg/m3,28079004,23,4,9,1
SO2,μg/m3,28079004,23,4,10,2
SO2,μg/m3,28079004,23,4,11,1
SO2,μg/m3,28079004,23,4,12,1
SO2,μg/m3,28079004,23,4,13,1
SO2,μg/m3,28079004,23,4,14,1
SO2,μg/m3,28079004,23,4,15,1
SO2,μg/m3,28079004,23,4,16,1
SO2,μg/m3,28079004,23,4,17,1
SO2,μg/m3,28079004,23,4,18,1
SO2,μg/m3,28079004,23,4,19,1
SO2,μg/m3,28079004,23,4,20,2
SO2,μg/m3,28079004,23,4,21,1
SO2,μg/m3,28079004,23,4,22,1
SO2,μg/m3,28079004,23,4,23,1
SO2,μg/m3,28079004,23,4,24,1
SO2,μg/m3,28079004,23,4,25,1
SO2,μg/m3,28079004,23,4,26,1
SO2,μg/m3,28079004,23,4,27,2
SO2,μg/m3,28079004,23,4,28,1
SO2,μg/m3,28079004,23,4,29,1
SO2,μg/m3,28079004,23,4,30,1
SO2,μg/m3,28079004,23,5,1,1
SO2,μg/m3,28079004,23,5,2,1
SO2,μg/m3,28079004,23,5,3,1
SO2,μg/m3,28079004,23,5,4,1
SO2,μg/m3,28079004,23,5,5,1
SO2,μg/m3,28079004,23,5,6,1
SO2,μg/m3,28079004,23,5,7,1
SO2,μg/m3,28079004,23,5,8,1
SO2,μg/m3,28079004,23,5,9,1
SO2,μg/m3,28079004,23,5,10,1
SO2,μg/m3,28079004,23,5,11,1
SO2,μg/m3,28079004,23,5,12,1
SO2,μg/m3,28079004,23,5,13,1
SO2,μg/m3,28079004,23,5,14,1
SO2,μg/m3,28079004,23,5,15,1
SO2,μg/m3,28079004,23,5,16,1
SO2,μg/m3,28079004,23,5,17,1
SO2,μg/m3,28079004,23,5,18,1
SO2,μg/m3,28079004,23,5,19,1
SO2,μg/m3,28079004,23,5,20,1
SO2,μg/m3,28079004,23,5,21,1
SO2,μg/m3,28079004,23,5,22,1
