id_free_place,latitude,longitude,complete_address,postal_code,country,community of spain,province,address,city
FreePlace1,-3.6703816,40.4626466,"'28016,ES,Madrid,Madrid,Calle de Santa maría magdalena 16,Madrid'",28016,ES,Madrid,Madrid,Calle de Santa maría magdalena 16,Madrid
FreePlace2,-3.6698983,40.4822616,"'28033,ES,Madrid,Madrid,Calle de Caleruega 68,Madrid'",28033,ES,Madrid,Madrid,Calle de Caleruega 68,Madrid
FreePlace3,-3.682395,40.47662,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace4,0.0,0.0,"'28909,ES,Madrid,Madrid,Camino de los Salmedina ,Madrid'",28909,ES,Madrid,Madrid,Camino de los Salmedina ,Madrid
FreePlace5,-3.6822,40.4769666,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace6,-3.6823683,40.4768849,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
FreePlace7,-3.6904133,40.4074666,"'28007,ES,Madrid,Madrid,Plaza del Embarcadero de atocha ,Madrid'",28007,ES,Madrid,Madrid,Plaza del Embarcadero de atocha ,Madrid
FreePlace8,-3.6958516,40.416165,"'28014,ES,Madrid,Madrid,Calle del Marqués de cubas 18,Madrid'",28014,ES,Madrid,Madrid,Calle del Marqués de cubas 18,Madrid
FreePlace9,-3.6880866,40.4247483,"'28001,ES,Madrid,Madrid,Calle de Serrano ,Madrid'",28001,ES,Madrid,Madrid,Calle de Serrano ,Madrid
FreePlace10,-3.6824833,40.4766716,"'28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid'",28046,ES,Madrid,Madrid,Calle de Mauricio legendre 38D,Madrid
