id_station,station_name,latitude,longitude,address,type
1.0,1a - Puerta del Sol A,-3.7018341,40.4172137,'Puerta del Sol nº 1',STATION
2.0,1b - Puerta del Sol B,-3.701602938060457,40.41731271011562,'Puerta del Sol nº 1',STATION
3.0,2 - Miguel Moya,-3.7058415,40.4205886,'Calle Miguel Moya nº 1',STATION
4.0,3 - Plaza Conde Suchil,-3.7069171,40.4302937,'Plaza del Conde del Valle de Súchil nº 3',STATION
5.0,4 - Malasaña,-3.7025875,40.4285524,'Calle Manuela Malasaña nº 5',STATION
6.0,5 - Fuencarral,-3.70205,40.42852,'Calle Fuencarral nº 108',STATION
7.0,6 - Colegio Arquitectos,-3.698447,40.424148,'Calle Hortaleza nº 63',STATION
8.0,7 - Hortaleza,-3.6977715,40.4251906,'Calle Hortaleza nº 75',STATION
9.0,8 - Alonso Martínez,-3.6954403,40.4278682,'Plaza de Alonso Martínez nº 5',STATION
10.0,9 - Plaza de San Miguel,-3.7095084,40.4156057,'Plaza de San Miguel nº 9',STATION
11.0,10 - Marqués de la Ensenada,-3.69214,40.42533,'Calle Marqués de la Ensenada nº 16',STATION
12.0,11 - San Andrés,-3.7035918,40.4269483,'Calle San Andrés nº 18',STATION
13.0,12 - San Hermenegildo,-3.7061931,40.4284246,'Calle San Bernardo nº 85',STATION
14.0,13 - Conde Duque,-3.7104417,40.4273264,'Calle Conde Duque nº 22',STATION
15.0,14 - Ventura Rodríguez,-3.713479,40.4260957,'Calle Duque de Liria',STATION
16.0,15 - San Vicente Ferrer,-3.7074453,40.4262383,'Calle San Vicente Ferrer nº 64',STATION
17.0,16 - San Bernardo,-3.7075065,40.4230721,'Calle San Bernardo nº 22',STATION
18.0,17 - Carlos Cambronero,-3.7038312,40.4232649,'Plaza de Carlos Cambronero nº 2',STATION
19.0,18 - Plaza de Pedro Zerolo,-3.6996502,40.4207773,'Plaza de Pedro Zerolo nº 1',STATION
21.0,20a - Banco de España A,-3.6954615,40.4192342,'Calle Alcalá nº 49',STATION
25.0,22 - Jacometrezo,-3.7065376,40.4200783,'Calle Jacometrezo nº 3',STATION
26.0,23 - Santo Domingo,-3.7081246,40.4202834,'Plaza de Santo Domingo nº 1',STATION
27.0,24 - Palacio de Oriente,-3.710692,40.417908,'Calle Carlos III nº 1',STATION
28.0,25a - Plaza de Celenque A,-3.7057791,40.4173703,'Plaza de Celenque nº 1',STATION
29.0,25b - Plaza de Celenque B,-3.7063837,40.4172781,'Plaza de Celenque nº 1',STATION
30.0,26 - Plaza de las Salesas,-3.694475,40.423855,'Plaza de las Salesas 7',STATION
31.0,27 - Huertas,-3.6956178,40.4132798,'Calle Jesús nº 1',STATION
32.0,28 - Sevilla,-3.6984368,40.4181518,'Calle Alcalá nº 27',STATION
33.0,29 - Marqués de Cubas,-3.6957355,40.4162619,'Calle del Marqués de Cubas nº 25',STATION
34.0,30 - San Quintín,-3.711504,40.4192095,'Calle Pavía nº 6',STATION
35.0,31 - Calle Mayor,-3.7068969,40.4163638,'Calle Mayor nº 20',STATION
36.0,32 - Plaza de la Provincia,-3.7061032,40.4150099,'Plaza de la Provincia nº 1',STATION
37.0,33 - Carretas,-3.7030833,40.4165039,'Calle Carretas nº 8',STATION
38.0,34 - Jacinto Benavente,-3.7036825,40.4146755,'Plaza de Jacinto Benavente',STATION
39.0,35 - Plaza del Cordón,-3.7103285,40.4141931,'Plaza del Cordón',STATION
40.0,36 - Plaza Ramales,-3.71183,40.4168,'Plaza de Ramales',STATION
41.0,37 - Plaza de San Francisco,-3.714113,40.4108,'Plaza de San Francisco nº 5',STATION
42.0,38 - Plaza de los Carros,-3.7114762,40.4114041,'Carrera de San Francisco nº 1',STATION
43.0,39 - Plaza de la Cebada,-3.7088337,40.4112744,'Plaza de la Cebada nº 16 ',STATION
44.0,40 - Conde de Romanones,-3.7049407,40.4138846,'Plaza del Conde de Romanones nº 9',STATION
45.0,41 - Antón Martín,-3.6991147,40.4122047,'Calle Atocha nº 54',STATION
46.0,42 - Santa Isabel,-3.6982318,40.4107085,'Calle Atocha nº 95',STATION
47.0,43 - Jesús y María,-3.7025024,40.4101564,'Calle Lavapiés nº 34',STATION
48.0,44 - Plaza de Nelson Mandela,-3.7040666,40.4097617,'Calle Mesón de Paredes nº 35',STATION
49.0,45 - Puerta de Toledo,-3.7110513,40.4070358,'Glorieta de la Puerta de Toledo nº 1',STATION
50.0,46 - Ribera de Curtidores,-3.7071259,40.4053153,'Calle Ribera de Curtidores nº 28',STATION
51.0,47 - Embajadores 1,-3.7028265,40.4047851,'Glorieta de Embajadores nº 6',STATION
52.0,48 - Embajadores 2,-3.7022591,40.4056107,'Glorieta de Embajadores nº 2',STATION
53.0,49 - Casa Encendida,-3.6992759,40.4060941,'Ronda de Atocha nº 34',STATION
54.0,50 - Museo Reina Sofía,-3.6933463,40.4083684,'Calle Santa Isabel nº 57',STATION
55.0,51 - Ronda de Atocha,-3.6935205,40.4075606,'Ronda de Atocha nº 2',STATION
56.0,52 - Plaza de Santa Ana,-3.7007164,40.4144226,'Plaza de Santa Ana nº 10',STATION
57.0,53 - Plaza de Lavapiés,-3.7007111,40.4083061,'Calle Valencia nº 1',STATION
58.0,54 - Barceló,-3.700423,40.4266828,'Calle Barceló nº 7',STATION
59.0,55 - Plaza de San Ildefonso,-3.7020842,40.4239757,'Plaza de San Ildefonso',STATION
60.0,56 - Plaza del Carmen,-3.7032414,40.4184192,'Plaza del Carmen nº 1',STATION
61.0,57 - Santa Cruz del Marcenado,-3.7126299,40.4295658,'Calle Santa Cruz del Marcenado nº 24',STATION
62.0,58 - Augusto Figueroa,-3.697895,40.4222862,'Calle Augusto Figueroa nº 33',STATION
63.0,59 - Plaza de Juan Pujol,-3.7043418,40.4255495,'Calle Espíritu Santo nº 30',STATION
