ID_Punto,GESTIÓN,DISTRITO,same_as_wikidata_distrito,COD_DIS,BARRIO,same_as_wikidata_barrio,COD_BAR,ESTADO,UBICACIÓN,EMPLAZAMIENTO,INFO_ADICIONAL,N_EQUIPOS,CARACTERÍSTICAS_EQUIPO,OPERADOR,FECHA_APERTURA,FECHA_ALTA,FECHA_EDICION,HORARIO
04VP,Convenio vía pública,Arganzuela,https://wikidata.org/entity/Q2000929,2,Palos de la Frontera,https://wikidata.org/entity/Q521009,6,Ejecutado,Ronda de Valencia 1,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-05-09T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
06VP,Convenio vía pública,Retiro,https://wikidata.org/entity/Q2002296,3,Adelfas,https://wikidata.org/entity/Q3774001,2,Ejecutado,Calle Cerro de la Plata 4,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
08VP,Convenio vía pública,Retiro,https://wikidata.org/entity/Q2002296,3,Jerónimos,https://wikidata.org/entity/Q10306766,5,Ejecutado,"Calle Alfonso XII, 2",Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
10VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,Recoletos,https://wikidata.org/entity/Q3814551,1,Ejecutado,Calle Goya 36,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-03-05T08:24:25Z,"24"
11VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,Goya,https://wikidata.org/entity/Q3814578,2,Ejecutado,Calle Goya 123,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-06-17T07:00:55Z,"24"
12VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,Castellana,https://wikidata.org/entity/Q4781,6,Ejecutado,Calle Castelló 105,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
01CoCe20,Convenio cesión,Salamanca,https://wikidata.org/entity/Q1773521,4,La Guindalera,https://wikidata.org/entity/Q3814559,4,Ejecutado,"Mercado de Guindalera. Plaza de San Cayetano, s/n",Mercado municipal,Mercado Municipal,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,ENDESA,2022-01-20T23:00:00Z,2022-02-03T15:21:24Z,2023-08-09T11:30:51Z,"24"
09CoCe20,Convenio cesión,Latina,https://wikidata.org/entity/Q794954,10,Cuatro Vientos,https://wikidata.org/entity/Q5191881,6,Ejecutado,"Calle Sinfonia, 9 (ES Ballenoil Aviación)",Estación de servicio,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,IBERDROLA,2021-05-20T22:00:00Z,2022-02-03T15:21:24Z,2023-06-13T07:31:09Z,"24"
32PropDG,Concesión demanial,Vicálvaro,https://wikidata.org/entity/Q589403,19,Valdebernardo,https://wikidata.org/entity/Q43025212,2,Ejecutado,"Bulevar José Prat, 27A",Vía pública,,3,"2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.",IBERDROLA,2024-05-16T22:00:00Z,2022-02-03T15:21:24Z,2024-01-07T10:10:53Z,"24"
02CoCe20,Convenio cesión,Chamartín,https://wikidata.org/entity/Q1766348,5,Hispanoamérica,https://wikidata.org/entity/Q3814573,4,Ejecutado,"Avenida Alfonso XIII, esquina, Costa Rica",Estación de servicio,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2022-01-25T00:00:00Z,2022-02-03T15:21:24Z,2023-07-09T12:24:55Z,"24"
13VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,Castellana,https://wikidata.org/entity/Q4781,6,Ejecutado,Calle Velázquez 74,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-11-21T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
14VP,Convenio vía pública,Salamanca,https://wikidata.org/entity/Q1773521,4,Castellana,https://wikidata.org/entity/Q4781,6,Ejecutado,Paseo Castellana 52,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
15VP,Convenio vía pública,Chamartín,https://wikidata.org/entity/Q1766348,5,El Viso,https://wikidata.org/entity/Q4778,1,Ejecutado,Paseo Castellana 106,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
16VP,Convenio vía pública,Chamartín,https://wikidata.org/entity/Q1766348,5,Hispanoamérica,https://wikidata.org/entity/Q3814573,4,Ejecutado,Paseo Castellana 160,Vía pública,-,2,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes. Equipo 150 kW: DC-CCS Combo 2 (≥ 250 A) y CHAdeMO (≥ 100 A),REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2023-08-30T09:50:58Z,"24"
17VP,Convenio vía pública,Chamartín,https://wikidata.org/entity/Q1766348,5,Castilla,https://wikidata.org/entity/Q3813735,6,Ejecutado,Calle Cardenal Marcelo Spínola 6,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2019-05-09T22:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
18VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Arapiles,https://wikidata.org/entity/Q10856744,2,Ejecutado,Calle Fernández de los Ríos 42,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2020-12-16T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
19VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Arapiles,https://wikidata.org/entity/Q10856744,2,Ejecutado,Plaza del Conde de Valle de Suchil,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-07-11T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
20VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Trafalgar,https://wikidata.org/entity/Q10384027,3,Ejecutado,Calle Fuencarral 114,Vía pública,,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,REPSOL,2019-10-15T22:00:00Z,2022-02-03T15:21:24Z,2023-02-03T13:52:16Z,"24"
21VP,Convenio vía pública,Chamberí,https://wikidata.org/entity/Q1763370,7,Trafalgar,https://wikidata.org/entity/Q10384027,3,Ejecutado,Calle Manuel Silvela 16,Vía pública,-,1,50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes,GIC,2020-12-27T23:00:00Z,2022-02-03T15:21:24Z,2022-04-27T10:43:52Z,"24"
