OID_;ID_Punto;DISTRITO;BARRIO;ESTADO;UBICACIÓN;EMPLAZAMIENTO;INFO_ADICIONAL;Nº_EQUIPOS;CARACTERÍSTICAS_EQUIPO;OPERADOR;GESTIÓN;INFO_FECHA_APERTURA;FECHA_APERTURA;FECHA_ALTA;FECHA_EDICION;COD_DIS;COD_BAR;HORARIO
3730;04 VP;Arganzuela;Palos de Moguer;Ejecutado;Ronda de Valencia 1;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;sep-19;05/09/2019 22:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;02;6;24
3731;06 VP;Retiro;Adelfas;Ejecutado;Calle Cerro de la Plata 4;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;dic-20;27/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;03;2;24
3732;08 VP;Retiro;Jerónimos;Ejecutado;Calle Alfonso XII, 2;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;03;5;24
3733;10 VP;Salamanca;Recoletos;Ejecutado;Calle Goya 36;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;dic-20;27/12/2020 23:00:00;02/03/2022 15:21:24;03/05/2022 8:24:25;04;1;24
3734;11 VP;Salamanca;Goya;Ejecutado;Calle Goya 123;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio vía pública;dic-20;16/12/2020 23:00:00;02/03/2022 15:21:24;17/06/2022 7:00:55;04;2;24
3735;12 VP;Salamanca;Castellana;Ejecutado;Calle Castelló 105;Vía pública;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;GIC;Convenio vía pública;dic-20;27/12/2020 23:00:00;02/03/2022 15:21:24;27/04/2022 10:43:52;04;6;24
3736;01 CoCe20;Salamanca;Guindalera;Ejecutado;Mercado de Guindalera. Plaza de San Cayetano, s/n;Mercado municipal;Mercado Municipal;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;ENDESA;Convenio cesión;ene-22;20/01/2022 23:00:00;02/03/2022 15:21:24;08/09/2023 11:30:51;04;4;24
3737;09 CoCe20;Latina;Cuatro Vientos;Ejecutado;Calle Sinfonia, 9 (ES Ballenoil Aviación);Estación de servicio;-;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;IBERDROLA;Convenio cesión;may-21;20/05/2021 22:00:00;02/03/2022 15:21:24;13/06/2023 7:31:09;10;6;24
3738;32 PropDG;Vicálvaro;Valdebernardo;Ejecutado;Bulevar José Prat, 27A;Vía pública;;3;2 equipos 100 kW CCS Combo, y 1 equipo 50 kW CCS/Chademo + 1 conector 22kW AC modo 2.;IBERDROLA;Concesión demanial;mayo - 24;16/05/2024 22:00:00;02/03/2022 15:21:24;01/07/2024 10:10:53;19;2;24
3739;02 CoCe20;Chamartín;Hispanoamérica;Ejecutado;Avenida Alfonso XIII, esquina, Costa Rica;Estación de servicio;;1;50 kW 2 conectores CC (CCS/Chademo) y 1 conector AC modo 2 Mennekes;REPSOL;Convenio cesión;ene-22;25/01/2022 0:00:00;02/03/2022 15:21:24;07/09/2023 12:24:55;05;4;24
