ID Cámara,Tipo,Ubicación,Resolución,Zoom Optico,Año Adquisición
CAM101,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM102,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM103,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM104,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM105,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2015"
CAM106,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM107,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM108,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM109,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM110,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM111,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM112,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM113,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM114,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM115,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM116,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM117,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2020"
CAM118,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM119,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM120,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM121,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM122,DOMO,BALLESTA-GRAN VIA,1920x1080,40x,"2022"
CAM123,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM124,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM125,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM126,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM127,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM128,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM129,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM130,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM131,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM132,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM133,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM134,DOMO,BALLESTA-GRAN VIA,1280x720,18x,"2015"
CAM201,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM202,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM203,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM204,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM205,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM206,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM207,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM208,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM209,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM210,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM211,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM212,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM213,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM214,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM215,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM216,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM217,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM218,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM219,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM220,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM221,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM222,FIJA,CENTRO SUR,1920x1080,0x,"2015"
CAM223,DOMO,CENTRO SUR,1280x720,40x,"2020"
CAM224,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM225,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM226,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM227,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM228,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM229,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM230,DOMO,CENTRO SUR,1920x1080,40x,"2020"
CAM231,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM232,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM233,DOMO,CENTRO SUR,1280x720,18x,"2015"
CAM234,DOMO,CENTRO SUR,1280x720,18x,"2015"
