ID Cámara;Tipo;Ubicación;Resolución;Zoom Optico;Año Adquisición
101;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
102;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
103;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
104;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
105;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2015
106;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
107;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
108;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
109;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
110;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
111;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
112;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
113;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
114;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
115;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
116;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
117;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2020
118;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
119;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
120;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
121;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
122;DOMO;BALLESTA-GRAN VIA;1920x1080;40x;2022
123;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
124;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
125;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
126;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
127;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
128;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
129;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
130;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
131;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
132;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
133;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
134;DOMO;BALLESTA-GRAN VIA;1280x720;18x;2015
201;DOMO;CENTRO SUR;1280x720;18x;2015
202;DOMO;CENTRO SUR;1280x720;18x;2015
203;DOMO;CENTRO SUR;1280x720;18x;2015
204;DOMO;CENTRO SUR;1280x720;18x;2015
205;DOMO;CENTRO SUR;1280x720;18x;2015
206;DOMO;CENTRO SUR;1280x720;18x;2015
207;DOMO;CENTRO SUR;1280x720;18x;2015
208;DOMO;CENTRO SUR;1280x720;18x;2015
209;DOMO;CENTRO SUR;1280x720;18x;2015
210;DOMO;CENTRO SUR;1280x720;18x;2015
211;DOMO;CENTRO SUR;1280x720;18x;2015
212;DOMO;CENTRO SUR;1280x720;18x;2015
213;DOMO;CENTRO SUR;1280x720;18x;2015
214;DOMO;CENTRO SUR;1280x720;18x;2015
215;DOMO;CENTRO SUR;1280x720;18x;2015
216;DOMO;CENTRO SUR;1280x720;18x;2015
217;DOMO;CENTRO SUR;1280x720;18x;2015
218;DOMO;CENTRO SUR;1920x1080;40x;2020
219;DOMO;CENTRO SUR;1920x1080;40x;2020
220;DOMO;CENTRO SUR;1920x1080;40x;2020
221;DOMO;CENTRO SUR;1920x1080;40x;2020
222;FIJA;CENTRO SUR;1920x1080;0x;2015
223;DOMO;CENTRO SUR;1280x720;40x;2020
224;DOMO;CENTRO SUR;1920x1080;40x;2020
225;DOMO;CENTRO SUR;1920x1080;40x;2020
226;DOMO;CENTRO SUR;1920x1080;40x;2020
227;DOMO;CENTRO SUR;1920x1080;40x;2020
228;DOMO;CENTRO SUR;1920x1080;40x;2020
229;DOMO;CENTRO SUR;1920x1080;40x;2020
230;DOMO;CENTRO SUR;1920x1080;40x;2020
231;DOMO;CENTRO SUR;1280x720;18x;2015
232;DOMO;CENTRO SUR;1280x720;18x;2015
233;DOMO;CENTRO SUR;1280x720;18x;2015
234;DOMO;CENTRO SUR;1280x720;18x;2015
235;DOMO;CENTRO SUR;1280x720;18x;2015
301;DOMO;PLAZA MAYOR;1280x720;30x;2016
302;DOMO;PLAZA MAYOR;1280x720;30x;2016
303;DOMO;PLAZA MAYOR;1280x720;30x;2016
304;DOMO;PLAZA MAYOR;1280x720;30x;2016
305;DOMO;PLAZA MAYOR;1280x720;30x;2016
306;DOMO;PLAZA MAYOR;1280x720;30x;2016
307;DOMO;PLAZA MAYOR;1280x720;30x;2016
308;DOMO;PLAZA MAYOR;1280x720;30x;2016
309;DOMO;PLAZA MAYOR;1280x720;30x;2016
310;DOMO;PLAZA MAYOR;1280x720;30x;2016
311;DOMO;PLAZA MAYOR;1280x720;30x;2016
312;DOMO;PLAZA MAYOR;1280x720;30x;2016
313;DOMO;PLAZA MAYOR;1280x720;30x;2016
314;DOMO;PLAZA MAYOR;1280x720;30x;2016
315;DOMO;PLAZA MAYOR;1280x720;18x;2016
316;DOMO;PLAZA MAYOR;1280x720;18x;2016
317;DOMO;PLAZA MAYOR;1280x720;18x;2016
318;DOMO;PLAZA MAYOR;1280x720;18x;2016
319;DOMO;PLAZA MAYOR;1280x720;18x;2016
320;DOMO;PLAZA MAYOR;1280x720;18x;2016
321;DOMO;PLAZA MAYOR;1280x720;18x;2016
322;DOMO;PLAZA MAYOR;1280x720;18x;2016
323;DOMO;PLAZA MAYOR;1280x720;18x;2016
324;FIJA;PLAZA MAYOR;1280x720;0x;2016
325;FIJA;PLAZA MAYOR;1920x1080;0x;2016
326;FIJA;PLAZA MAYOR;1920x1080;0x;2016
327;FIJA;PLAZA MAYOR;1280x720;0x;2016
328;FIJA;PLAZA MAYOR;1280x720;0x;2016
329;FIJA;PLAZA MAYOR;1920x1080;0x;2016
330;FIJA;PLAZA MAYOR;1920x1080;0x;2016
331;FIJA;PLAZA MAYOR;1920x1080;0x;2016
332;FIJA;PLAZA MAYOR;1920x1080;0x;2016
333;FIJA;PLAZA MAYOR;1920x1080;0x;2016
334;FIJA;PLAZA MAYOR;1920x1080;0x;2016
